Title,Url,Npub,Desc,Source,Date,大分類,小分類,技術・プラットフォーム,Picture,Featured
Nostr Follow Organizer,https://tsukemonogit.github.io/NFO/,,フォローしてる人の最新の投稿、フォロー状況などを表示し、簡単にフォロー整理ができるツール,https://github.com/TsukemonoGit/NFO,Nov.2024,アプリケーション,Webアプリ,"Nostr, Svelte, @konemono/svelte5-i18n",,
nostr-monoGazo-bot,https://tsukemonogit.github.io/nostr-monoGazo-bot/,npub1lxrlhyrfdl9sjdvx9xhwhag4d6s95sz3q8z09kgzp0cz73l2ffys9p726u,Nostrに投稿された もの ₍ ･ᴗ･ ₎ のイラストとか、₍ ･ᴗ･ ₎ っぽい写真つきの投稿を収集して、特定のワードに反応して画像を投稿したりするBot\nついでにサイトも作成\nNostrをやっていない人にも雰囲気を伝えるために、実際のNostrのポストも表示している\n特定のブックマークに追加された画像を検知してもの画像に追加する機能も追加。,https://github.com/TsukemonoGit/nostr-monoGazo-bot,Sep.2023,Bot,自動投稿Bot,"Nostr, Raspberry Pi, SolidJS, JavaScript, TypeScript, Node.js, Google Sheets API, @konemono/nostr-web-components",,
@konemono/nostr-sharr-component,https://tsukemonogit.github.io/nostr-share-component/,,いろんなクライアントがあってどのサイトへの共有ボタンを置こうかな？となるところを一つに集約するようなコンポーネント,https://github.com/TsukemonoGit/nostr-share-component,Feb.2025,ライブラリ・コンポーネント,Web Component,"Nostr, Svelte, Web Components",,
@konemono/nostr-web-components,https://tsukemonogit.github.io/nostr-web-components/,,Webアプリケーションに簡単にNostrプロトコル機能を統合できる、軽量で使いやすいWeb Componentsライブラリ,https://github.com/TsukemonoGit/nostr-web-components,Jul.2025,ライブラリ・コンポーネント,Web Component,"Nostr, Svelte, rx-nostr, Web Components",,
MyTimer,https://tsukemonogit.github.io/Timer/,,通知音を設定できる、メモ付きでタイマー情報を保存できる Windows Software,https://github.com/TsukemonoGit/Timer,Sep.2022,アプリケーション,デスクトップアプリ,"C#, Windows",https://tsukemonogit.github.io/Timer/image1.png,
buatuihodogood,https://unityroom.com/games/buatuihodogood,,とある分厚い机で配信をしている方をリスペクトしたクリックゲーム\n一部キャラクター、素材はblenderで自作,,Jul.2022,ゲーム,Webゲーム,"Unity, C#, Blender",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/30651/icon_20220407_110614.png,
カシファン,https://unityroom.com/games/fancolle,,とある分厚い机で配信をしている方をリスペクトした3Dゲーム\nキャラクター、素材はblenderで自作\nデータをぶっ飛ばしながら作成し、gitに手を出しはじめた頃,https://github.com/TsukemonoGit/wakeUpVer2,Jul.2022,ゲーム,Webゲーム,"Unity, C#, Blender",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/30159/icon_20220324_103328.png,
かしふぁん２,https://unityroom.com/games/kashifan2,,とある分厚い机で配信をしている方をリスペクトした横スクロールゲーム\n途中まで\nキャラクター、素材はblenderで自作,,Mar.2022,ゲーム,Webゲーム,"Unity, C#, Blender",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/30360/icon_20220331_172959.png,
りばーし,https://unityroom.com/games/onlineothelloo,,オンライン対戦できるリバーシ\n制限時間を設定することができ、制限時間を過ぎると適当な場所に勝手に置かれるようになっている,https://github.com/TsukemonoGit/OthelloOnline,Sep.2022,ゲーム,Webゲーム,"Unity, C#, Blender",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/31756/icon_20220512_142008.png,
ぱたぱた,https://unityroom.com/games/ptpt,,ライツアウトのようなゲーム\nパズロムという雑誌に収録されていた「ぱたぱた」というゲームをUnityで再現し、アレンジを加えたもの\nブロックの立体感を出すためにblenderで素材を作成,https://github.com/TsukemonoGit/patapata,Jun.2022,ゲーム,Webゲーム,"Unity, C#, Blender",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/32194/icon_20220606_164822.png,
